=== xe48 lane 0 (phy 0xc1) ===
  0x81fe: 0x1234
  0x81ff: 0x81ff
  0x8200: 0x0706
  0x8201: 0x7fff
  0x8202: 0x0002
  0x8203: 0x0020
  0x8204: 0x0000
  0x8205: 0xb401
  0x8206: 0x30b2
  0x8207: 0x0000
  0x8208: 0x0000
  0x8209: 0x0000
  0x820a: 0x00a1
  0x820b: 0x00a5
  0x820c: 0x8000
  0x820d: 0x0000
  0x820e: 0x0080
  0x820f: 0x820f
  0x8210: 0x21ac
  0x8211: 0x3800
  0x8212: 0x1080
  0x8213: 0x32db
  0x8214: 0x5788
  0x8215: 0x4140
  0x8216: 0x0b6d
  0x8217: 0x00d8
  0x8218: 0x411a
  0x8219: 0x3e7f
  0x821a: 0x0000
  0x821b: 0x0000
  0x821c: 0x00a0
  0x821d: 0x0022
  0x821e: 0x2200
  0x821f: 0x821f
  0x8220: 0x0000
  0x8221: 0x0000
  0x8222: 0x0003
  0x8223: 0x12a8
  0x8224: 0x0000
  0x8225: 0x0257
  0x8226: 0x0f37
  0x8227: 0x0363
  0x8228: 0x07e9
  0x8229: 0x000d
  0x822a: 0x3b47
  0x822b: 0x0040
  0x822c: 0x0e7f
  0x822d: 0x0fc2
  0x822e: 0x03b2
  0x822f: 0x822f
  0x8230: 0x62a0
  0x8231: 0x14a4
  0x8232: 0x0ac4
  0x8233: 0x0dc8
  0x8234: 0x0e1c
  0x8235: 0x2b12
  0x8236: 0x146a
  0x8237: 0x0545
  0x8238: 0x0208
  0x8239: 0x0402
  0x823a: 0x2861
  0x823b: 0x803f
  0x823c: 0xd41a
  0x823d: 0x5959
  0x823e: 0x0000
  0x823f: 0x823f
  0x8240: 0x210d
  0x8241: 0x0000
  0x8242: 0x0000
  0x8243: 0x0000
  0x8244: 0x0000
  0x8245: 0x007f
  0x8246: 0x07ff
  0x8247: 0x0000
  0x8248: 0x0000
  0x8249: 0x0000
  0x824a: 0x0000
  0x824b: 0x0000
  0x824c: 0x0000
  0x824d: 0x0000
  0x824e: 0x0000
  0x824f: 0x824f
  0x8250: 0x0000
  0x8251: 0x0000
  0x8252: 0x0000
  0x8253: 0x0000
  0x8254: 0x0000
  0x8255: 0x0000
  0x8256: 0x0000
  0x8257: 0x0000
  0x8258: 0x0000
  0x8259: 0x0000
  0x825a: 0x0000
  0x825b: 0x0000
  0x825c: 0x0000
  0x825d: 0x0000
  0x825e: 0x0000
  0x825f: 0x825f
  0x8260: 0x0000
  0x8261: 0x0000
  0x8262: 0x0000
  0x8263: 0x0000
  0x8264: 0x0000
  0x8265: 0x0000
  0x8266: 0x0000
  0x8267: 0x0000
  0x8268: 0x0000
  0x8269: 0x0000
  0x826a: 0x0000
  0x826b: 0x0000
  0x826c: 0x0000
  0x826d: 0x0000
  0x826e: 0x0000
  0x826f: 0x826f
  0x8270: 0x0000
  0x8271: 0x0000
  0x8272: 0x0000
  0x8273: 0x0000
  0x8274: 0x0000
  0x8275: 0x0000
  0x8276: 0x0000
  0x8277: 0x0000
  0x8278: 0x0000
  0x8279: 0x0000
  0x827a: 0x0000
  0x827b: 0x0000
  0x827c: 0x0000
  0x827d: 0x0000
  0x827e: 0x0000
  0x827f: 0x827f
  0x8280: 0x0000
  0x8281: 0x0000
  0x8282: 0x0000
  0x8283: 0x0000
  0x8284: 0x0000
  0x8285: 0x0000
  0x8286: 0x0000
  0x8287: 0x0000
  0x8288: 0x0000
  0x8289: 0x0000
  0x828a: 0x0000
  0x828b: 0x0000
  0x828c: 0x0000
  0x828d: 0x0000
  0x828e: 0x0000
  0x828f: 0x828f
  0x8290: 0x0000
  0x8291: 0x0000
  0x8292: 0x0000
  0x8293: 0x0000
  0x8294: 0x0000
  0x8295: 0x0000
  0x8296: 0x0000
  0x8297: 0x0000
  0x8298: 0x0000
  0x8299: 0x0000
  0x829a: 0x0000
  0x829b: 0x0000
  0x829c: 0x0000
  0x829d: 0x0000
  0x829e: 0x0000
  0x829f: 0x829f
  0x82a0: 0x0000
  0x82a1: 0x0000
  0x82a2: 0x0000
  0x82a3: 0x0000
  0x82a4: 0x0000
  0x82a5: 0x0000
  0x82a6: 0x0000
  0x82a7: 0x0000
  0x82a8: 0x0000
  0x82a9: 0x0000
  0x82aa: 0x0000
  0x82ab: 0x0000
  0x82ac: 0x0000
  0x82ad: 0x0000
  0x82ae: 0x0000
  0x82af: 0x82af
  0x82b0: 0x0000
  0x82b1: 0x0000
  0x82b2: 0x0000
  0x82b3: 0x0000
  0x82b4: 0x0000
  0x82b5: 0x0000
  0x82b6: 0x0000
  0x82b7: 0x0000
  0x82b8: 0x0000
  0x82b9: 0x0000
  0x82ba: 0x0000
  0x82bb: 0x0000
  0x82bc: 0x0000
  0x82bd: 0x0000
  0x82be: 0x0000
  0x82bf: 0x82bf
  0x82c0: 0x0000
  0x82c1: 0x0000
  0x82c2: 0x0000
  0x82c3: 0x0000
  0x82c4: 0x0000
  0x82c5: 0x0000
  0x82c6: 0x0000
  0x82c7: 0x0000
  0x82c8: 0x0000
  0x82c9: 0x0000
  0x82ca: 0x0000
  0x82cb: 0x0000
  0x82cc: 0x0000
  0x82cd: 0x0000
  0x82ce: 0x0000
  0x82cf: 0x82cf
  0x82d0: 0x0000
  0x82d1: 0x0000
  0x82d2: 0x0000
  0x82d3: 0x0000
  0x82d4: 0x0000
  0x82d5: 0x0000
  0x82d6: 0x0000
  0x82d7: 0x0000
  0x82d8: 0x0000
  0x82d9: 0x0000
  0x82da: 0x0000
  0x82db: 0x0000
  0x82dc: 0x0000
  0x82dd: 0x0000
  0x82de: 0x0000
  0x82df: 0x82df
  0x82e0: 0x0000
  0x82e1: 0x0000
  0x82e2: 0xe270
  0x82e3: 0xbf00
  0x82e4: 0x3820
  0x82e5: 0x5a54
  0x82e6: 0x03f0
  0x82e7: 0x035a
  0x82e8: 0x03f0
  0x82e9: 0x7fff
  0x82ea: 0xffff
  0x82eb: 0x0000
  0x82ec: 0x0029
  0x82ed: 0x0000
  0x82ee: 0x0000
  0x82ef: 0x82ef
  0x82f0: 0x0000
  0x82f1: 0x0000
  0x82f2: 0x0000
  0x82f3: 0x0000
  0x82f4: 0x0000
  0x82f5: 0x0000
  0x82f6: 0x0000
  0x82f7: 0x0000
  0x82f8: 0x0000
  0x82f9: 0x0000
  0x82fa: 0x16f2
  0x82fb: 0x0fdb
  0x82fc: 0x0076
  0x82fd: 0x0000
  0x82fe: 0x0260
  0x82ff: 0x82ff
  0x8300: 0x01c1
  0x8301: 0x0006
  0x8302: 0x2004
  0x8303: 0x0000
  0x8304: 0x0018
  0x8305: 0x0881
  0x8306: 0x0200
  0x8307: 0x0000
  0x8308: 0x6011
  0x8309: 0x6190
  0x830a: 0x0820
  0x830b: 0x0000
  0x830c: 0x000a
  0x830d: 0x0000
  0x830e: 0x0000
  0x830f: 0x830f
  0x8310: 0x4289
  0x8311: 0x1fcc
  0x8312: 0xffff
  0x8313: 0x8381
  0x8314: 0x1f90
  0x8315: 0x0000
  0x8316: 0x0000
  0x8317: 0x0000
  0x8318: 0x0000
  0x8319: 0x0000
  0x831a: 0x0000
  0x831b: 0x0000
  0x831c: 0x0000
  0x831d: 0x0000
  0x831e: 0x0000
  0x831f: 0x831f
  0x8320: 0x71b0
  0x8321: 0x71b0
  0x8322: 0x25a0
  0x8323: 0x0b26
  0x8324: 0x8004
  0x8325: 0x71b0
  0x8326: 0x0b0b
  0x8327: 0x0000
  0x8328: 0x0000
  0x8329: 0x07b1
  0x832a: 0x0000
  0x832b: 0x0384
  0x832c: 0x0000
  0x832d: 0x0000
  0x832e: 0x0000
  0x832f: 0x832f
  0x8330: 0x0000
  0x8331: 0x0000
  0x8332: 0x0000
  0x8333: 0x0000
  0x8334: 0x0000
  0x8335: 0x0000
  0x8336: 0x0000
  0x8337: 0x0410
  0x8338: 0x0000
  0x8339: 0x0000
  0x833a: 0x0000
  0x833b: 0x0400
  0x833c: 0x8088
  0x833d: 0xa000
  0x833e: 0x0800
  0x833f: 0x833f
  0x8340: 0x0072
  0x8341: 0x70e0
  0x8342: 0x0000
  0x8343: 0x0400
  0x8344: 0x0000
  0x8345: 0x0080
  0x8346: 0x0001
  0x8347: 0x0000
  0x8348: 0x0000
  0x8349: 0x000a
  0x834a: 0x0000
  0x834b: 0x0000
  0x834c: 0x0000
  0x834d: 0x0005
  0x834e: 0x2727
  0x834f: 0x834f
  0x8350: 0x0000
  0x8351: 0x147e
  0x8352: 0x3d3d
  0x8353: 0x3d3d
  0x8354: 0x0000
  0x8355: 0x02bd
  0x8356: 0x0601
  0x8357: 0x0201
  0x8358: 0x0000
  0x8359: 0x0000
  0x835a: 0x0000
  0x835b: 0x0000
  0x835c: 0x0801
  0x835d: 0x0401
  0x835e: 0x0400
  0x835f: 0x835f
  0x8360: 0x0078
  0x8361: 0x0000
  0x8362: 0x01fb
  0x8363: 0x01bc
  0x8364: 0x0006
  0x8365: 0x4008
  0x8366: 0x0000
  0x8367: 0xce77
  0x8368: 0x0c28
  0x8369: 0x0000
  0x836a: 0x4010
  0x836b: 0x4c4c
  0x836c: 0x0110
  0x836d: 0x1041
  0x836e: 0xff7f
  0x836f: 0x836f
  0x8370: 0x000e
  0x8371: 0x0007
  0x8372: 0x6000
  0x8373: 0x0000
  0x8374: 0x0001
  0x8375: 0x0000
  0x8376: 0x0000
  0x8377: 0x0000
  0x8378: 0x0000
  0x8379: 0x17a2
  0x837a: 0x7000
  0x837b: 0x0000
  0x837c: 0x0000
  0x837d: 0x0000
  0x837e: 0x4000
  0x837f: 0x837f
  0x8380: 0x2487
  0x8381: 0x0000
  0x8382: 0x0000
  0x8383: 0x0000
  0x8384: 0x0000
  0x8385: 0x0000
  0x8386: 0x0000
  0x8387: 0x0000
  0x8388: 0x0000
  0x8389: 0x0000
  0x838a: 0x0000
  0x838b: 0x0000
  0x838c: 0x0000
